N° of rooms	Amount
0	0
1	731
2	1669
3	2402
4	3342
5	4134
6	4415
7	4073
8	3356
9	2821
10	2134
11	1532
12	1173
13	838
14	581
15	445
16	310
17	226
18	208
19	132
20	107
21	79
22	74
23	60
24	37
25	38
26	35
27	17
28	31
29	19
30	11
31	10
32	16
33	9
34	7
35	5
36	8
37	5
38	5
39	1
40	1
41	5
42	3
43	3
44	4
45	4
46	1
47	0
48	1
49	0
50	1
51	0
52	0
53	0
54	1
55	1
56	1
57	0
58	0
59	0
60	0
61	0
62	1
63	1
64	0
65	0
66	0
67	0
68	1
69	0
70	0
71	0
72	0
73	1
